Name,Link to profile,Post content,Link to post,source_topic,clean_content,source,importance,chunk_id,investors,funding_amount,funding_amount_pretty,funding_stage
Daytona,,"Daytona is an enterprise-grade alternative to GitHub Codespaces for administering self-hosted, secure, and standardized development environments.",https://www.daytona.io/,DevTools,"Daytona is an enterprise-grade alternative to GitHub Codespaces for administering self-hosted, secure, and standardized development environments.",Startups Gallery,1.0,,"Figma Ventures, Firestreak Ventures, Firstmark, Pace Capital, Upfront Ventures",24000000.0,$24M,Series A
Accrual,,"Accrual is building the foundation for professional accounting by unifying fragmented accounting workflows into a single system that removes manual coordination while preserving the accuracy, controls, and auditability the profession depends on.",https://accrual.com/,Fintech,"Accrual is building the foundation for professional accounting by unifying fragmented accounting workflows into a single system that removes manual coordination while preserving the accuracy, controls, and auditability the profession depends on.",Startups Gallery,1.0,,,75000000.0,$75M,Series A
Goodfire,,"Our mission is to advance humanity's understanding of AI by examining the inner workings of advanced AI models (or “AI Interpretability”). As a research-driven product organization, we bridge the gap between theoretical science and practical applications of interpretability.",https://www.goodfire.ai/,DevTools,"Our mission is to advance humanity's understanding of AI by examining the inner workings of advanced AI models (or “AI Interpretability”). As a research-driven product organization, we bridge the gap between theoretical science and practical applications of interpretability.",Startups Gallery,1.0,,"B Capital, Dfj Growth, Lightspeed Venture Partners, Menlo Ventures, South Park Commons, Wing Vc",150000000.0,$150M,Series B
Duna,,"Duna is a business onboarding platform for regulated companies — including large banks, fintechs, platforms and financial institutions. Our mission is to build global trust infrastructure by providing a digital passport for every business. Over time, this will evolve into a network for shareable identity and one-click onboarding.",https://duna.com/,Cybersecurity,"Duna is a business onboarding platform for regulated companies — including large banks, fintechs, platforms and financial institutions. Our mission is to build global trust infrastructure by providing a digital passport for every business. Over time, this will evolve into a network for shareable identity and one-click onboarding.",Startups Gallery,1.0,,"Capitalg, Index Ventures",35000000.0,$35M,Series A
Adaption,,"Adaption builds AI systems that adapt as real world conditions change. Moving beyond static and costly retraining cycles, Adaption delivers intelligence that evolves through real world interaction, enabling efficient AI across domains, languages and operational constraints. Founded by ex-Cohere leaders.",https://www.adaptionlabs.ai/,AI,"Adaption builds AI systems that adapt as real world conditions change. Moving beyond static and costly retraining cycles, Adaption delivers intelligence that evolves through real world interaction, enabling efficient AI across domains, languages and operational constraints. Founded by ex-Cohere leaders.",Startups Gallery,1.0,,"Emergence Capital, Neo, Threshold Ventures",50000000.0,$50M,Seed
Resolve AI,,"Our Agentic AI SRE investigates & resolves incidents, so that you can focus on building.  Let’s make machines be on-call for humans, not the other way around.",https://resolve.ai/,AI,"Our Agentic AI SRE investigates & resolves incidents, so that you can focus on building.  Let’s make machines be on-call for humans, not the other way around.",Startups Gallery,1.0,,"A Capital, Greylock, Lightspeed Venture Partners, Unusual Ventures",135000000.0,$135M,Series A
Bedrock Robotics,,"Bedrock Robotics brings advanced autonomy to the built world, helping the construction industry build at the pace today's society demands. Their technology upgrades existing heavy equipment, enabling truly autonomous operation with expert level quality and superhuman safety. At a time when we need to build faster than ever—from housing to data centers to factories and energy infrastructure—autonomous construction isn't just an innovation, it's an economic necessity.",https://bedrockrobotics.com/,Robotics,"Bedrock Robotics brings advanced autonomy to the built world, helping the construction industry build at the pace today's society demands. Their technology upgrades existing heavy equipment, enabling truly autonomous operation with expert level quality and superhuman safety. At a time when we need to build faster than ever—from housing to data centers to factories and energy infrastructure—autonomous construction isn't just an innovation, it's an economic necessity.",Startups Gallery,1.0,,"8vc, Capitalg, Eclipse, Georgian, Nventures",270000000.0,$270M,Series B
ElevenLabs,,"AI voice models and products powering millions of developers, creators, and enterprises. From low‑latency conversational agents to the leading AI voice generator for voiceovers and audiobooks.",https://elevenlabs.io/,AI,"AI voice models and products powering millions of developers, creators, and enterprises. From low‑latency conversational agents to the leading AI voice generator for voiceovers and audiobooks.",Startups Gallery,1.0,,"Andreessen Horowitz, Iconiq Growth, Nfdg Ventures, Sequoia Capital, Sv Angel",500000000.0,$500M,Series D
Positron,,"Positron delivers vendor freedom and faster inference for both enterprises and research teams, by allowing them to use hardware and software explicitly designed from the ground up for generative and large language models (LLMs).",https://www.positron.ai/,Hardware,"Positron delivers vendor freedom and faster inference for both enterprises and research teams, by allowing them to use hardware and software explicitly designed from the ground up for generative and large language models (LLMs).",Startups Gallery,1.0,,"Flume Ventures, Qia",230000000.0,$230M,Series B
Lotus Health,,"Lotus Health is a groundbreaking primary care app that integrates your medical records, AI, and real doctors to provide free, personalized healthcare and prescriptions.",https://lotus.ai/,Healthcare,"Lotus Health is a groundbreaking primary care app that integrates your medical records, AI, and real doctors to provide free, personalized healthcare and prescriptions.",Startups Gallery,1.0,,"Crv, Kleiner Perkins",35000000.0,$35M,Series A
